iter	Passed	Remaining
0	1	116
1	2	100
2	2	90
3	3	81
4	4	81
5	5	81
6	5	79
7	6	76
8	7	74
9	8	72
10	8	70
11	9	68
12	10	67
13	10	65
14	11	63
15	11	62
16	12	61
17	13	60
18	14	60
19	15	60
20	15	59
21	16	58
22	17	57
23	18	57
24	18	56
25	19	55
26	20	54
27	20	53
28	21	52
29	21	51
30	22	50
31	23	49
32	24	48
33	24	47
34	25	47
35	25	46
36	26	45
37	27	44
38	27	43
39	29	43
40	29	43
41	30	41
42	30	40
43	31	40
44	32	39
45	32	38
46	33	37
47	34	37
48	34	36
49	35	35
50	36	34
51	37	34
52	37	33
53	38	32
54	39	32
55	39	31
56	40	30
57	41	29
58	42	29
59	42	28
60	43	27
61	44	27
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	48	21
69	49	21
70	50	20
71	50	19
72	51	19
73	52	18
74	53	17
75	53	16
76	54	16
77	55	15
78	56	14
79	56	14
80	57	13
81	58	12
82	58	12
83	59	11
84	60	10
85	61	9
86	61	9
87	62	8
88	63	7
89	64	7
90	64	6
91	65	5
92	66	4
93	66	4
94	68	3
95	68	2
96	69	2
97	70	1
98	71	0
99	72	0
